work_id,author_id,author_name,author_position,institutions
WOS:001453105900004,,"Wang, H.",1,Tsinghua University
WOS:001453105900004,,"Hu, J.",2,Sorbonne University
WOS:001453105900004,,"Morandi, A.",3,ETH Zurich
WOS:001453105900004,,"Nardi, A.",4,
WOS:001453105900004,,"Xia, F.",5,Sorbonne University
WOS:001453105900004,,"Li, X.",6,
WOS:001453105900004,,"Savo, R.",7,"Ctr Ric Enr Fermi, I-00184 Rome, Italy."
WOS:001453105900004,,"Liu, Q.",8,Tsinghua University
WOS:001453105900004,,"Grange, R.",9,
WOS:001453105900004,,"Gigan, S.",10,Sorbonne University
WOS:001438096100007,,"Muda, A.",1,Koc University
WOS:001438096100007,,"Tegin, U.",2,Koc University
WOS:000787768500012,,"Xia, C.",1,"Univ Otago, Dept Comp Sci, Dunedin, New Zealand."
WOS:000787768500012,,"Chen, Y.",2,"Univ Otago, Dept Comp Sci, Dunedin, New Zealand."
WOS:000787768500012,,"Zhang, H.",3,"Univ Otago, Dept Comp Sci, Dunedin, New Zealand."
WOS:000787768500012,,"Zhang, H.",4,"Univ Otago, Dept Comp Sci, Dunedin, New Zealand."
WOS:000787768500012,,"Wu, J.",5,"Guangdong Univ Technol, Sch Comp, Guangzhou, Peoples R China."
WOS:001487986800016,,"Kesgin, B.",1,Koc University
WOS:001487986800016,,"Tegin, U.",2,Koc University
WOS:001577664100003,,"Yu, M.",1,"Xidian Univ, Sch Telecommun Engn, State Key Lab Integrated Serv Networks, Xian 710071, Shaanxi, Peoples R China."
WOS:001577664100003,,"Zhao, H.",2,"Xidian Univ, Sch Telecommun Engn, State Key Lab Integrated Serv Networks, Xian 710071, Shaanxi, Peoples R China."
WOS:001577664100003,,"Xiang, S.",3,"Xidian Univ, Natl Engn Res Ctr Wide Band Gap Semicond, Sch Microelect, Xian 710071, Shaanxi, Peoples R China."
WOS:001577664100003,,"Guo, X.",4,"Xidian Univ, Natl Engn Res Ctr Wide Band Gap Semicond, Sch Microelect, Xian 710071, Shaanxi, Peoples R China."
WOS:001577664100003,,"Xie, C.",5,"Xidian Univ, Sch Telecommun Engn, State Key Lab Integrated Serv Networks, Xian 710071, Shaanxi, Peoples R China."
WOS:001577664100003,,"Hao, Y.",6,"Xidian Univ, Natl Engn Res Ctr Wide Band Gap Semicond, Sch Microelect, Xian 710071, Shaanxi, Peoples R China."
WOS:001729274700005,,"Stein, M.",1,"Cornell Univ, Sch Appl & Engn Phys, Ithaca, NY 14853 USA."
WOS:001729274700005,,"Onodera, T.",2,"Cornell Univ, Sch Appl & Engn Phys, Ithaca, NY 14853 USA."
WOS:001729274700005,,"Yanagimoto, R.",3,"Cornell Univ, Sch Appl & Engn Phys, Ithaca, NY 14853 USA."
WOS:001729274700005,,"Wright, L.",4,
WOS:001729274700005,,"McMahon, P.",5,"Cornell Univ, Kavli Inst Cornell Nanoscale Sci, Ithaca, NY USA."
WOS:001449664800046,,"Marciano, P.",1,"Univ Fed Espirito Santo, Dept Elect Engn, BR-29075910 Vitoria, Brazil."
WOS:001449664800046,,"Staffoli, E.",2,University of Trento
WOS:001449664800046,,"Maddinelli, G.",3,University of Trento
WOS:001449664800046,,"Coelho, M.",4,"Univ Fed Espirito Santo, Dept Elect Engn, BR-29075910 Vitoria, Brazil."
WOS:001449664800046,,"Silva, L.",5,"Univ Fed Espirito Santo, Dept Elect Engn, BR-29075910 Vitoria, Brazil."
WOS:001449664800046,,"Silva, J.",6,"Univ Fed Espirito Santo, Dept Elect Engn, BR-29075910 Vitoria, Brazil."
WOS:001449664800046,,"Pontes, M.",7,"Univ Fed Espirito Santo, Dept Elect Engn, BR-29075910 Vitoria, Brazil."
WOS:001449664800046,,"Segatto, M.",8,"Univ Fed Espirito Santo, Dept Elect Engn, BR-29075910 Vitoria, Brazil."
WOS:001449664800046,,"Pavesi, L.",9,University of Trento
WOS:001528007500001,,"Staffoli, E.",1,University of Trento
WOS:001528007500001,,"Ferri, E.",2,University of Trento
WOS:001528007500001,,"Gretter, S.",3,University of Trento
WOS:001528007500001,,"Pavesi, L.",4,University of Trento
