work_id,keyword
WOS:001453105900004,neural networks
WOS:001453105900004,ultrafast
WOS:001453105900004,optical fibers
WOS:001453105900004,optical imaging
WOS:001453105900004,optical harmonic generation
WOS:001453105900004,optics
WOS:001453105900004,fiber nonlinear optics
WOS:001453105900004,optical computing;
WOS:001453105900004,optical scattering
WOS:001453105900004,machine learning;
WOS:001453105900004,optical computing
WOS:001453105900004,nonlinear optics
WOS:001453105900004,photonics
WOS:000787768500012,network accelerator
WOS:000787768500012,neural
WOS:000787768500012,optical interconnection networks
WOS:000787768500012,optical neural networks
WOS:001487986800016,benchmark
WOS:001487986800016,chaos theory
WOS:001487986800016,optical computing
WOS:001487986800016,nonlinear optics
WOS:001487986800016,multimode fibers
WOS:001577664100003,training method
WOS:001577664100003,artificial-intelligence
WOS:001577664100003,optics
WOS:001577664100003,inference
WOS:001577664100003,backpropagation
WOS:001577664100003,optical computing
WOS:001577664100003,algorithm
WOS:001577664100003,photonic neural network
WOS:001729274700005,artificial-intelligence
WOS:001729274700005,programmable integrated photonics
WOS:001729274700005,lithium
WOS:001729274700005,optical neural networks
WOS:001729274700005,niobate
WOS:001729274700005,networks
WOS:001449664800046,index terms-chromatic dispersion compensation
WOS:001449664800046,photonic
WOS:001449664800046,c-ran
WOS:001449664800046,transmission
WOS:001449664800046,neural network
WOS:001449664800046,spectral efficiency
WOS:001449664800046,division multiplexing
WOS:001449664800046,photonic integrated circuit
WOS:001449664800046,orthogonal frequency
WOS:001449664800046,circuit
WOS:001449664800046,fronthaul
WOS:001449664800046,photonic integrated
WOS:001449664800046,photonic neural network
WOS:001528007500001,self-phase
WOS:001528007500001,dsp
WOS:001528007500001,imdd
WOS:001528007500001,signal
WOS:001528007500001,equalization
WOS:001528007500001,modulation
WOS:001528007500001,multi-span link
WOS:001528007500001,photonic neural network
WOS:001582826400493,deep learning
WOS:001582826400493,photonics for neuromorphic computing and
WOS:001582826400493,photonic integrated circuits
WOS:001522745300001,spiking neural network
WOS:001522745300001,semiconductor-laser
WOS:001522745300001,optical neural network
WOS:001522745300001,sparse neural networks
WOS:001582826400125,computing
WOS:001582826400125,optical signal processing devices
WOS:001582826400125,optical neural networks and reservoir
WOS:001233664400001,photonics
WOS:001301185700012,crystal
WOS:001301185700012,robustness
WOS:001301185700012,optical bistability
WOS:001301185700012,topological structure
WOS:001532172700354,artificial-intelligence
WOS:001282120900016,broadband
WOS:001282120900016,analog processing
WOS:001282120900016,neuromorphic photonics
WOS:001282120900016,silicon photonics
WOS:001282120900016,rf photonics
WOS:001446495300082,all-optical neurons
WOS:001446495300082,physical neural networks;
WOS:001446495300082,neuromorphic photonics
WOS:001446495300082,reservoir computing
WOS:001446495300082,silicon photonics
